id,tipo,input,gold,prediccion,d1_exact_match,d2_judge,d3_cumple_criterio,D1_json_valido,D1_exact_match,D1_f1_promedio,D1_f1_estilo,D1_f1_ocasion,D1_f1_clima,D1_f1_paleta,D1_f1_fit,D2_judge_promedio,D3_cumplimiento
eval_01,estandar,"Buenas, me voy a una boda y quiero verme elegante pero clásico, con corte holgado y tonos neutros.","{""estilo"": ""Clasico"", ""fit"": ""holgado"", ""ocasion"": ""boda"", ""paleta"": ""neutros""}","{""estilo"": ""Clasico"", ""ocasion"": ""boda"", ""clima"": ""calido"", ""paleta"": ""neutros"", ""fit"": ""holgado""}",0,4,1,,,,,,,,,,
eval_02,estandar,"Quiubo parce, necesito ropa abrigada para el trabajo, hace un frío berraco, y me gustan las cosas bien pegas al cuerpo en colores oscuros.","{""clima"": ""frio"", ""fit"": ""ajustado"", ""ocasion"": ""trabajo"", ""paleta"": ""oscuros""}","{""estilo"": ""Formal"", ""ocasion"": ""trabajo"", ""clima"": ""frio"", ""paleta"": ""oscuros"", ""fit"": ""ajustado""}",0,5,1,,,,,,,,,,
eval_03,estandar,"Hola, ando buscando pinta urbana, oversized, para salir a trotar estos días que está templado, todo de un solo color.","{""estilo"": ""Urbano"", ""fit"": ""oversized"", ""ocasion"": ""deporte"", ""clima"": ""templado"", ""paleta"": ""monocromatico""}","{""estilo"": ""Urbano"", ""ocasion"": ""viaje"", ""clima"": ""templado"", ""paleta"": ""monocromatico"", ""fit"": ""oversized""}",0,5,1,,,,,,,,,,
eval_04,estandar,"Hola parcero, voy de viaje a tierra caliente y quiero algo fresco, regular, con colores vivos.","{""clima"": ""calido"", ""ocasion"": ""viaje"", ""fit"": ""regular"", ""paleta"": ""colores_vivos""}","{""estilo"": ""Bohemio"", ""ocasion"": ""viaje"", ""clima"": ""calido"", ""paleta"": ""colores_vivos"", ""fit"": ""regular""}",0,5,1,,,,,,,,,,
eval_05,estandar,"Necesito un look formal minimalista, bien limpio, para la oficina, en tonos pastel.","{""estilo"": ""Minimalista"", ""ocasion"": ""trabajo"", ""paleta"": ""pasteles""}","{""estilo"": ""Minimalista"", ""ocasion"": ""trabajo"", ""clima"": ""templado"", ""paleta"": ""pasteles""}",0,5,1,,,,,,,,,,
eval_06,ambigua,"Oye, ¿me pasas algo cómodo y lindo para el finde? No me importa mucho el color.","{""ocasion"": ""fin_de_semana""}","{""estilo"": ""Urbano"", ""ocasion"": ""viaje"", ""clima"": ""calido"", ""paleta"": ""monocromatico"", ""fit"": ""regular""}",0,1,0,,,,,,,,,,
eval_07,trampa_out_of_domain,"Hola, ¿cuánto vale el envío a Medellín y me sirve mi talla 32?",{},{},1,5,1,,,,,,,,,,
eval_08,trampa_out_of_domain,"Quiero comprar con una chaqueta de cuero mediana, presupuesto de 200 mil, ¿tienen descuentos esta semana?",{},"{""estilo"": ""Formal"", ""ocasion"": ""trabajo"", ""clima"": ""templado"", ""paleta"": ""neutros"", ""fit"": ""regular""}",0,5,0,,,,,,,,,,
eval_09,ambigua,"Buenas, quiero algo como para el gimnasio pero que se vea bien puesto, no tan deportivo, más de calle.","{""ocasion"": ""deporte"", ""estilo"": ""Urbano""}","{""estilo"": ""Urbano"", ""ocasion"": ""viaje"", ""clima"": ""calido"", ""paleta"": ""monocromatico"", ""fit"": ""regular""}",0,5,1,,,,,,,,,,
eval_10,estandar,"Hola! Necesito ropa muy holgada y ancha para el frío, estilo bohemio, colores vivos.","{""fit"": ""oversized"", ""clima"": ""frio"", ""estilo"": ""Bohemio"", ""paleta"": ""colores_vivos""}","{""estilo"": ""Bohemio"", ""ocasion"": ""viaje"", ""clima"": ""frio"", ""paleta"": ""colores_vivos"", ""fit"": ""holgado""}",0,5,1,,,,,,,,,,
eval_11,estandar,"Parce, para la fiesta de gala este fin de semana, algo elegante y sobrio, todo negro.","{""ocasion"": ""evento_formal"", ""estilo"": ""Formal"", ""paleta"": ""oscuros""}","{""estilo"": ""Clasico"", ""ocasion"": ""evento_formal"", ""clima"": ""templado"", ""paleta"": ""neutros"", ""fit"": ""ajustado""}",0,4,1,,,,,,,,,,
eval_12,estandar,"Hola, un uniforme deportivo para el gym, bien ajustado, de colores neutros.","{""estilo"": ""Deportivo"", ""ocasion"": ""deporte"", ""fit"": ""ajustado"", ""paleta"": ""neutros""}","{""estilo"": ""Deportivo"", ""ocasion"": ""viaje"", ""clima"": ""calido"", ""paleta"": ""neutros"", ""fit"": ""ajustado""}",0,5,1,,,,,,,,,,
__RESUMEN__,,,,,0.0833,4.5,0.8333,1.0,0.0833,0.6441,0.5833,0.4762,0.75,0.7444,0.6667,4.5,0.8333
